Distrito;Barrio
Centro; Palacio
Centro; Embajadores
Centro; Cortes
Centro; Justicia
Centro; Universidad
Centro; Sol
Arganzuela; Imperial
Arganzuela; Acacias
Arganzuela; Chopera
Arganzuela; Legazpi
Arganzuela; Delicias
Arganzuela; Palos de Moguer
Arganzuela; Atocha
Retiro; Pacífico
Retiro; Adelfas
Retiro; Estrella
Retiro; Ibiza
Retiro; Jerónimos
Retiro; Niño Jesús
Salamanca; Recoletos
Salamanca; Goya
Salamanca; Fuente del Berro
Salamanca; Guindalera
Salamanca; Lista
Salamanca; Castellana
Chamartín; El Viso
Chamartín; Prosperidad
Chamartín; Ciudad Jardín
Chamartín; Hispanoamérica
Chamartín; Nueva España
Chamartín; Castilla
Tetuán; Bellas Vistas
Tetuán; Cuatro Caminos
Tetuán; Castillejos
Tetuán; Almenara
Tetuán; Valdeacederas
Tetuán; Berruguete
Chamberí; Gaztambide
Chamberí; Arapiles
Chamberí; Trafalgar
Chamberí; Almagro
Chamberí; Ríos Rosas
Chamberí; Vallehermoso
Fuencarral-El Pardo; El Pardo
Fuencarral-El Pardo; Fuentelarreina
Fuencarral-El Pardo; Peñagrande
Fuencarral-El Pardo; Pilar
Fuencarral-El Pardo; La Paz
Fuencarral-El Pardo; Valverde
Fuencarral-El Pardo; Mirasierra
Fuencarral-El Pardo; El Goloso
Moncloa; Casa de Campo
Moncloa; Argüelles
Moncloa; Ciudad Universitaria
Moncloa; Valdezarza
Moncloa; Valdemarín
Moncloa; El Plantío
Moncloa; Aravaca
Latina; Los Cármenes
Latina; Puerta del Angel
Latina; Lucero
Latina; Aluche
Latina; Campamento
Latina; Cuatro Vientos
Latina; Las Águilas
Carabanchel; Comillas
Carabanchel; Opañel
Carabanchel; San Isidro
Carabanchel; Vista Alegre
Carabanchel; Puerta Bonita
Carabanchel; Buenavista
Carabanchel; Abrantes
Usera; Orcasitas
Usera; Orcasur
Usera; San Fermín
Usera; Almendrales
Usera; Moscardó
Usera; Zofio
Usera; Pradolongo
Puente de Vallecas; Entrevías
Puente de Vallecas; San Diego
Puente de Vallecas; Palomeras Bajas
Puente de Vallecas; Palomeras Sureste
Puente de Vallecas; Portazgo
Puente de Vallecas; Numancia
Moratalaz; Pavones
Moratalaz; Horcajo
Moratalaz; Marroquina
Moratalaz; Media Legua
Moratalaz; Fontarrón
Moratalaz; Vinateros
Ciudad Lineal; Ventas
Ciudad Lineal; Pueblo Nuevo
Ciudad Lineal; Quintana
Ciudad Lineal; Concepción
Ciudad Lineal; San Pascual
Ciudad Lineal; San Juan Bautista
Ciudad Lineal; Colina
Ciudad Lineal; Atalaya
Ciudad Lineal; Costillares
Hortaleza; Palomas
Hortaleza; Piovera
Hortaleza; Canillas
Hortaleza; Pinar del Rey
Hortaleza; Apóstol Santiago
Hortaleza; Valdefuentes
Villaverde; Villaverde
Villaverde; San Cristóbal
Villaverde; Butarque
Villaverde; Los Rosales
Villaverde; Los Ángeles
Villa de Vallecas; Casco Histórico de Vallecas
Villa de Vallecas; Santa Eugenia
Villa de Vallecas; Ensanche de Vallecas
Vicálvaro; Casco Histórico de Vicálvaro
Vicálvaro; Valdebernardo
Vicálvaro; Valderrivas
Vicálvaro; El Cañaveral
San Blas; Simancas
San Blas; Hellín
San Blas; Amposta
San Blas; Arcos
San Blas; Rosas
San Blas; Rejas
San Blas; Canillejas
San Blas; Salvador
Barajas; Alameda de Osuna
Barajas; Aeropuerto
Barajas; Casco Histórico de Barajas
Barajas; Timón
Barajas; Corralejos
